-2.0000	-2.0000	0.0500	-0.4846
-2.0000	-1.9000	0.0500	-0.5848
-2.0000	-1.8000	0.0500	-0.7468
-2.0000	-1.7000	0.0500	-0.6174
-2.0000	-1.6000	0.0500	-0.7878
-2.0000	-1.5000	0.0500	-0.9139
-2.0000	-1.4000	0.0500	-0.9333
-2.0000	-1.3000	0.0500	-0.9054
-2.0000	-1.2000	0.0500	-0.9803
-2.0000	-1.1000	0.0500	-1.0771
-2.0000	-1.0000	0.0500	-1.0879
-2.0000	-0.9000	0.0500	-0.9884
-2.0000	-0.8000	0.0500	-1.3657
-2.0000	-0.7000	0.0500	-1.0882
-2.0000	-0.6000	0.0500	-0.7533
-2.0000	-0.5000	0.0500	-0.3264
-2.0000	-0.4000	0.0500	0.0679
-2.0000	-0.3000	0.0500	0.5880
-2.0000	-0.2000	0.0500	1.1881
-2.0000	-0.1000	0.0500	1.7956
-2.0000	-0.0000	0.0500	2.3331
-2.0000	0.1000	0.0500	2.7491
-2.0000	0.2000	0.0500	3.0371
-2.0000	0.3000	0.0500	3.1848
-2.0000	0.4000	0.0500	2.9588
-2.0000	0.5000	0.0500	2.8029
-2.0000	0.6000	0.0500	2.5499
-2.0000	0.7000	0.0500	2.2444
-2.0000	0.8000	0.0500	1.8739
-2.0000	0.9000	0.0500	1.5668
-2.0000	1.0000	0.0500	1.2875
-2.0000	1.1000	0.0500	1.0402
-2.0000	1.2000	0.0500	0.8262
-2.0000	1.3000	0.0500	0.6451
-2.0000	1.4000	0.0500	0.5031
-2.0000	1.5000	0.0500	0.3923
-2.0000	1.6000	0.0500	0.2880
-2.0000	1.7000	0.0500	0.2021
-2.0000	1.8000	0.0500	0.1586
-2.0000	1.9000	0.0500	0.1079
-1.9000	-2.0000	0.0500	-0.5318
-1.9000	-1.9000	0.0500	-0.6258
-1.9000	-1.8000	0.0500	-0.7629
-1.9000	-1.7000	0.0500	-0.7783
-1.9000	-1.6000	0.0500	-1.0309
-1.9000	-1.5000	0.0500	-1.3276
-1.9000	-1.4000	0.0500	-1.3415
-1.9000	-1.3000	0.0500	-1.1655
-1.9000	-1.2000	0.0500	-1.2632
-1.9000	-1.1000	0.0500	-1.4803
-1.9000	-1.0000	0.0500	-1.5809
-1.9000	-0.9000	0.0500	-1.6788
-1.9000	-0.8000	0.0500	-2.1030
-1.9000	-0.7000	0.0500	-1.9803
-1.9000	-0.6000	0.0500	-1.3002
-1.9000	-0.5000	0.0500	-0.9447
-1.9000	-0.4000	0.0500	-0.4921
-1.9000	-0.3000	0.0500	0.1713
-1.9000	-0.2000	0.0500	0.9800
-1.9000	-0.1000	0.0500	1.8439
-1.9000	-0.0000	0.0500	2.6051
-1.9000	0.1000	0.0500	3.1927
-1.9000	0.2000	0.0500	3.5948
-1.9000	0.3000	0.0500	3.7789
-1.9000	0.4000	0.0500	3.6137
-1.9000	0.5000	0.0500	3.3805
-1.9000	0.6000	0.0500	3.0349
-1.9000	0.7000	0.0500	2.6335
-1.9000	0.8000	0.0500	2.1800
-1.9000	0.9000	0.0500	1.7843
-1.9000	1.0000	0.0500	1.4480
-1.9000	1.1000	0.0500	1.1596
-1.9000	1.2000	0.0500	0.9095
-1.9000	1.3000	0.0500	0.6839
-1.9000	1.4000	0.0500	0.4814
-1.9000	1.5000	0.0500	0.4355
-1.9000	1.6000	0.0500	0.3089
-1.9000	1.7000	0.0500	0.2127
-1.9000	1.8000	0.0500	0.1561
-1.9000	1.9000	0.0500	0.1048
-1.8000	-2.0000	0.0500	-0.5752
-1.8000	-1.9000	0.0500	-0.6561
-1.8000	-1.8000	0.0500	-0.7320
-1.8000	-1.7000	0.0500	-0.8682
-1.8000	-1.6000	0.0500	-1.1943
-1.8000	-1.5000	0.0500	-1.5886
-1.8000	-1.4000	0.0500	-1.6464
-1.8000	-1.3000	0.0500	-1.4911
-1.8000	-1.2000	0.0500	-1.6365
-1.8000	-1.1000	0.0500	-1.9515
-1.8000	-1.0000	0.0500	-2.1876
-1.8000	-0.9000	0.0500	-2.4957
-1.8000	-0.8000	0.0500	-2.8725
